instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C203_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C203_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0007924710007500835,True,2,507.2553997401696,
C204_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C204_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2828638159990078,True,2,446.99393129625685,
C204_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C204_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0032788009993964806,True,3,477.574724823711,
C205_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C205_C10x.txt,10,Clustered,ALNS,1,ok,0.2952479920022597,True,2,431.2730733712446,
C205_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C205_C10x.txt,10,Clustered,ClarkeWright,1,ok,0.0006889370015414897,True,4,540.4400181211919,
C206_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C206_C10x_n.txt,10,Clustered,ALNS,1,ok,0.25059173599947826,True,3,590.6162160900424,
C206_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C206_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0021723279969592113,True,4,696.4412499250614,
C207_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C207_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3620714320022671,True,2,492.48216388833663,
C207_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C207_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0030820249994576443,True,3,578.6362156196142,
C208_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C208_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2492567749977752,True,2,517.1255701898644,
C208_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C208_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0005313120018399786,True,4,557.3229667592714,
C209_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C209_C10x_n.txt,10,Clustered,ALNS,1,ok,0.34665718100222875,True,2,475.3461941139245,
C209_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C209_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0010733509989222512,True,3,580.5265822802248,
C210_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C210_C10x_n.txt,10,Clustered,ALNS,1,ok,0.39484374899984687,True,2,563.7107663058383,
C210_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C210_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0037381500005722046,True,3,506.8593892019029,
C211_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C211_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3205703090025054,True,2,594.4130534917947,
C211_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C211_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0007471370008715894,True,4,612.7629969695593,
C212_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C212_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3528558259968122,True,1,547.6019751545566,
C212_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C212_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0007075370012898929,True,2,474.8067451637364,
C213_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C213_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3657558849990892,True,2,547.1058914289099,
C213_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C213_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0009839510021265596,True,4,717.9385762000278,
C214_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C214_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3649429609977233,True,2,380.4558688665105,
C214_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C214_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0008040160028031096,True,2,388.5767647078202,
C215_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C215_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3444442580002942,True,2,481.26027984459785,
C215_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C215_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.003423375001148088,True,4,576.1396075017169,
C216_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C216_C10x_n.txt,10,Clustered,ALNS,1,ok,0.36791799899947364,True,1,324.7748853570064,
C216_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C216_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0008912960001907777,True,2,433.9820789491672,
C217_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C217_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3802455299992289,True,2,574.6873815028642,
C217_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C217_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0006694580006296746,True,3,546.339802881098,
